#OFFSET: 589
ricky:  And karl... he couldn't stop questioning to Johnathon about
karl: I just wondered at what point you saw say, this is getting on my nerves. Yes way too long. It took any socks or other hurt. Yeah, but it's not I mean it is boring in hotel rooms because I told you before about when I was in Edinburgh and had nothing to do there's nothing on the Telly and you sort of you but you've eaten the shortbread biscuits in here. And so that's when I read the phone book to see how many
#OFFSET: 619
Unknown:  that's when you read the phone book. Well, so see how many Max we're in Scotland and I've got to Macintosh. Yeah, and it was like, you know 42 Pages for yeah. Yeah Jonathan, I don't know if he'd already done that and he said he is off now when we say to decide is it is Cheeks is all of it. Now that please do that nothing other than the cheap, but then there's not much left, but then we got to the fact that me and Jonathan if we pulled our wealth
#OFFSET: 649
Unknown:  We could have shaved Carl's ass 4,000 pounds, right? And he said he f a thousand times in Chalmers. Scratch Suzanne said Can assessment.
#OFFSET: 659
Unknown:  Your girlfriend said what girl she was annoyed. She says well, I'm not allowed to go there why is there an outhouse and course the whole table stopped and went in and said what isn't that me touching him there? I meant what do you mean this is doing in terms of nation.
#OFFSET: 676
Unknown:  I like the fact that you had this conversation with it. I like the idea that she touched your heart what you would woo hands off. Yeah. I love you. But keep your hands away from the ass. It's you know, what? You know why I said it he's talking about the most intimate part of the ass the mid laughs he's talking about that soon. And he said I said, why went bit guy in it.
#OFFSET: 695
Unknown:  I said I'm going to go touching it be a bit gay.
#OFFSET: 698
Unknown:  You still behind it could be anyone all right.
#OFFSET: 708
Unknown:  I mean you can imagine the conversations we were having right and it just it's that thing that the waitress heard something every time she came over. She had the worst car gone from a shave my head. Yeah. Yeah and there but it was a it was a good night wasn't it? So it's the thousand pounds now it was him who gives you sign off anyway, so everyone will be happy you've used the asked to best effect.
#OFFSET: 734
Unknown:  She's got she's got half out of it. So she's she's made as much out of your asses you have in a sense with me Jonathan. Yeah, but to be fair it's his ass on the line so I know but I mean, you know, she's not like she's getting a bum deal. Well, he's getting 500, you know. Yeah, go ahead. No, you know that but do you reckon just thinking some more stuff before you if you just shave your ass, let's say we did it for charity or something got
#OFFSET: 764
Unknown:  it's a ship don't how would we do use one of those big cannot fashion raise? No. No, I do is a big safety. I do just straight and when you use a gel or foam now, I just I first of all yeah, I do it. I think I just lather up. She loved episodes first. I did I did I do the outside. It's just straight down big broad Strokes cleaner. Then I have to go in the crevices and I don't need an assistant. I'd pop it apart and just very gently go in there. I might even use electronic equipment just so there was there was no sort of like Nick's Okay, so,
#OFFSET: 794
Unknown:  Genetic variation or I might wax the internal middle class Jonathan do cuz he did it on his own. Didn't he? I see these mirrors. Why did it work? I'll ask him where call him later but I don't know. Well that's you perhaps you listening of what shape you are maybe during an example. So what I think this is conjecture, but I think he was probably there he - our is shaved his face right? I thought it was naked looked a little what here we are asked. Well, I got the Razor in this hand. I've got the mirror there.
#OFFSET: 824
Unknown:  You know, I'm not I'm not on stage for a good 10 minutes. Yeah, there's one thing I don't like going on stage with is a hairy ass bang bang Wallop done on stage. Thanks. See you later. See you next week. Yeah.
#OFFSET: 841
Unknown:  We're thinking oh, it's just if that our area was it not mean I where he was it because I imagine I mean you saying mirrors and stuff but is it is I mean, how old is he now? He's 14 and they say your testicles dropped quite a bit. Once you start getting old. Yeah, so that is got to make sure they're out the way to yeah, I don't think of I mean I can speak for myself and as a similar age to Jonathan that
#OFFSET: 871
